,precision,recall,f1-score,support
java,0.42216867469879515,0.4924114671163575,0.4545926310326933,3558.0
c#,0.23695132687712236,0.5424704866109992,0.32983193277310924,3473.0
javascript,0.32526981764049123,0.5208581644815257,0.4004581901489118,3356.0
python,0.4530180460485376,0.557427258805513,0.49982835564709915,2612.0
android,0.5142296368989205,0.5124694376528117,0.5133480284104825,2045.0
c++,0.3151702786377709,0.5183299389002036,0.391990758567578,1964.0
ios,0.43431001890359167,0.4994565217391304,0.46461071789686553,1840.0
html,0.35805626598465473,0.5584045584045584,0.43633125556544966,1755.0
php,0.34980988593155893,0.45236631837738167,0.3945322969713213,1627.0
.net,0.1393099843178254,0.3397068196303378,0.19759036144578315,1569.0
jquery,0.3073370959466393,0.3894668400520156,0.34356180097505024,1538.0
css,0.338107098381071,0.48010610079575594,0.3967848008768725,1131.0
objective-c,0.23668240053944706,0.3952702702702703,0.29607760438633485,888.0
c,0.21776155717761558,0.40451977401129946,0.2831158560695928,885.0
sql,0.449685534591195,0.49310344827586206,0.47039473684210525,870.0
iphone,0.2636625119846596,0.34076827757125155,0.2972972972972973,807.0
asp.net,0.08123055651572762,0.2919254658385093,0.12709572742022715,805.0
mysql,0.1325685149776928,0.30364963503649633,0.18456078083407276,685.0
linux,0.36432160804020103,0.21323529411764705,0.2690166975881262,680.0
node.js,0.12280701754385964,0.13343108504398826,0.12789880534082923,682.0
git,0.018867924528301886,0.1386861313868613,0.033216783216783216,274.0
micro avg,0.2893615416525248,0.46441108824597505,0.35656032900392665,33044.0
macro avg,0.2895869407697942,0.4084792044818465,0.32914930568126594,33044.0
weighted avg,0.32806468734374405,0.46441108824597505,0.37684498184565424,33044.0
samples avg,0.22991174450936025,0.37059482399558724,0.2609090782387868,33044.0
