,precision,recall,f1-score,support
java,0.15765671013883045,0.42130410342889263,0.22945048216745753,3558.0
c#,0.0,0.0,0.0,3473.0
javascript,0.2731334678581724,0.5646603098927294,0.3681756362929862,3356.0
python,0.1471731028467211,0.7105666156202144,0.24384155554095774,2612.0
android,0.1769936890418818,0.6034229828850856,0.27370522346678494,2045.0
c++,0.11122568227125867,0.8238289205702648,0.19599055175337654,1964.0
ios,0.1524197195838987,0.7326086956521739,0.2523399475851741,1840.0
html,0.1176705225368967,0.8404558404558404,0.20643806857942618,1755.0
php,0.10817623849188952,0.6066379840196681,0.18361082689982328,1627.0
.net,0.07750148898153662,0.6634799235181644,0.1387907472835144,1569.0
jquery,0.22307364836100468,0.6814044213263979,0.3361128928800513,1538.0
css,0.25843188786684185,0.5216622458001768,0.3456356180433509,1131.0
objective-c,0.0,0.0,0.0,888.0
c,0.03800328677074774,0.8361581920903954,0.07270226457729528,885.0
sql,0.17462280484788523,0.8114942528735632,0.2874007734581722,870.0
iphone,0.11401160196340919,0.6332094175960347,0.19323123463792777,807.0
asp.net,0.06270789700628311,0.6322981366459627,0.11409997758350146,805.0
mysql,0.13208013851100667,0.7795620437956204,0.22588832487309643,685.0
linux,0.04886276021588281,0.7455882352941177,0.09171490593342982,680.0
node.js,0.0,0.0,0.0,682.0
git,0.06820083682008368,0.5948905109489051,0.12237237237237238,274.0
micro avg,0.11825923647314056,0.5526268006294638,0.19482660208365563,33044.0
macro avg,0.11628311829115387,0.5811063253530575,0.1848334001870809,33044.0
weighted avg,0.13112107811386187,0.5526268006294638,0.20267837666902155,33044.0
samples avg,0.12194762930101744,0.4342941249310504,0.17815369758132904,33044.0
