,precision,recall,f1-score,support
java,0.8456037021455617,0.5649241146711635,0.6773378264532435,3558.0
c#,0.6995329527763363,0.388137057299165,0.4992592592592593,3473.0
javascript,0.7549060542797494,0.5387365911799762,0.6287602156146758,3356.0
python,0.9075718015665797,0.6653905053598775,0.7678374199248952,2612.0
android,0.9449180327868852,0.7046454767726161,0.807282913165266,2045.0
c++,0.7948951686417502,0.4439918533604888,0.5697484482195362,1964.0
ios,0.794314381270903,0.5163043478260869,0.6258234519104084,1840.0
html,0.6902173913043478,0.4341880341880342,0.5330535152151101,1755.0
php,0.8856358645928637,0.594960049170252,0.711764705882353,1627.0
.net,0.5734597156398105,0.15423836838750796,0.24309392265193372,1569.0
jquery,0.8401913875598086,0.5708712613784135,0.6798296554394115,1538.0
css,0.8383705650459922,0.5641025641025641,0.6744186046511628,1131.0
objective-c,0.5287009063444109,0.19707207207207209,0.2871205906480722,888.0
c,0.6737804878048781,0.2497175141242938,0.3643858202802968,885.0
sql,0.6457960644007156,0.4149425287356322,0.5052484254723584,870.0
iphone,0.6076696165191741,0.2552664188351921,0.3595113438045376,807.0
asp.net,0.6646706586826348,0.27577639751552796,0.38981562774363476,805.0
mysql,0.8490990990990991,0.5503649635036496,0.6678476527900796,685.0
linux,0.6703296703296703,0.2691176470588235,0.3840503672612801,680.0
node.js,0.8012422360248447,0.3782991202346041,0.5139442231075697,682.0
git,0.9154228855721394,0.6715328467153284,0.7747368421052632,274.0
micro avg,0.7925755453271963,0.4794213775571965,0.5974505958666465,33044.0
macro avg,0.7583966020184835,0.4477418920233938,0.5554700396000166,33044.0
weighted avg,0.7740431869310173,0.4794213775571965,0.5860872242779251,33044.0
samples avg,0.4308595904675065,0.40118987313273213,0.4032170048346469,33044.0
