,precision,recall,f1-score,support
java,0.3881741712023751,0.44097807757166946,0.4128947368421052,3558.0
c#,0.2066063002168091,0.4664555139648719,0.2863708679512109,3473.0
javascript,0.3738195173137461,0.4246126340882002,0.39760044642857134,3356.0
python,0.29958832335329344,0.6129402756508423,0.4024635495223731,2612.0
android,0.4024104452628055,0.5877750611246944,0.47774244833068363,2045.0
c++,0.19686306052684496,0.4984725050916497,0.28225457690644373,1964.0
ios,0.20763723150357996,0.4255434782608696,0.2790946355373374,1840.0
html,0.18387589013224823,0.41196581196581195,0.25426411113064884,1755.0
php,0.3224903812521861,0.5666871542716656,0.41105662059741416,1627.0
.net,0.12409972299168975,0.2855321861057999,0.1730063718864646,1569.0
jquery,0.5035573122529644,0.4141742522756827,0.45451302176239744,1538.0
css,0.23500352858151025,0.5888594164456233,0.3359394703656999,1131.0
objective-c,0.10344827586206896,0.4189189189189189,0.16592328278322924,888.0
c,0.07705677867902665,0.45084745762711864,0.13161801088570016,885.0
sql,0.3355874894336433,0.45632183908045976,0.38675109595713597,870.0
iphone,0.10325318246110325,0.3618339529120198,0.1606602475928473,807.0
asp.net,0.09325872635225153,0.43478260869565216,0.15357612988152697,805.0
mysql,0.18764302059496568,0.5985401459854015,0.28571428571428575,685.0
linux,0.1896551724137931,0.3720588235294118,0.25124131082423035,680.0
node.js,0.12735070933685252,0.5659824046920822,0.2079181255049825,682.0
git,0.5033557046979866,0.8211678832116789,0.6241331484049931,274.0
micro avg,0.22115669797330698,0.4738833071056773,0.30157247542104404,33044.0
macro avg,0.24593975925817826,0.48592620959381555,0.31117792832429914,33044.0
weighted avg,0.26941074324809133,0.4738833071056773,0.3296362095850157,33044.0
samples avg,0.2336659129784995,0.38703466054281627,0.2675334348614548,33044.0
