,precision,recall,f1-score,support
java,0.3700161637931034,0.7720629567172569,0.500273174285194,3558.0
c#,0.2887700534759358,0.513101065361359,0.3695562007465782,3473.0
javascript,0.2793666501731816,0.8411799761620977,0.41943392021395143,3356.0
python,0.7043327556325824,0.777947932618683,0.7393123521921049,2612.0
android,0.5825641025641025,0.8332518337408313,0.6857142857142857,2045.0
c++,0.5754310344827587,0.5437881873727087,0.5591623036649214,1964.0
ios,0.6431131592421915,0.6826086956521739,0.6622726074347483,1840.0
html,0.3244047619047619,0.43475783475783475,0.3715607499391283,1755.0
php,0.7283236994219653,0.5421020282728949,0.6215644820295982,1627.0
.net,0.27631578947368424,0.01338432122370937,0.025531914893617023,1569.0
jquery,0.7815699658703071,0.2977893368010403,0.43126177024482104,1538.0
css,0.8539325842696629,0.134394341290893,0.2322383498854087,1131.0
objective-c,0.68,0.019144144144144143,0.03723986856516977,888.0
c,0.84,0.023728813559322035,0.046153846153846156,885.0
sql,0.6363636363636364,0.016091954022988506,0.03139013452914798,870.0
iphone,0.8181818181818182,0.011152416356877323,0.02200488997555012,807.0
asp.net,0.9411764705882353,0.01987577639751553,0.038929440389294405,805.0
mysql,0.9591836734693877,0.06861313868613139,0.12806539509536782,685.0
linux,0.8571428571428571,0.01764705882352941,0.034582132564841495,680.0
node.js,1.0,0.026392961876832845,0.051428571428571435,682.0
git,0.9512195121951219,0.14233576642335766,0.24761904761904757,274.0
micro avg,0.41853784524562515,0.48060162207965135,0.4474277342649462,33044.0
macro avg,0.671019461345014,0.32054050191724676,0.2978712113126282,33044.0
weighted avg,0.5586048602477465,0.48060162207965135,0.3968970574234246,33044.0
samples avg,0.38225265385611207,0.4147298864160841,0.3743858325922424,33044.0
