,precision,recall,f1-score,support
java,0.7365576871115914,0.7661607644744238,0.7510676401708224,3558.0
c#,0.6071098799630655,0.7572703714367982,0.6739269698910955,3473.0
javascript,0.6163783160322953,0.7961859356376639,0.6948381224808218,3356.0
python,0.8379022646007152,0.807427258805513,0.8223825307077403,2612.0
android,0.8661257606490872,0.8352078239608802,0.8503858600945979,2045.0
c++,0.7596519847743338,0.7113034623217923,0.7346831448856166,1964.0
ios,0.6918604651162791,0.8407608695652173,0.7590775269872423,1840.0
html,0.5087055261165784,0.7658119658119659,0.6113259040254719,1755.0
php,0.7943680419122462,0.7455439459127228,0.7691819911223843,1627.0
.net,0.3418038654259127,0.6086679413639261,0.43777217510887007,1569.0
jquery,0.7321688500727802,0.6540962288686606,0.6909340659340659,1538.0
css,0.7347670250896058,0.7250221043324492,0.7298620382732531,1131.0
objective-c,0.4358108108108108,0.7263513513513513,0.5447635135135135,888.0
c,0.5590128755364807,0.5887005649717514,0.57347275729224,885.0
sql,0.5968911917098445,0.6620689655172414,0.6277929155313351,870.0
iphone,0.43610223642172524,0.6765799256505576,0.5303545410393394,807.0
asp.net,0.5073891625615764,0.5118012422360249,0.5095856524427954,805.0
mysql,0.7126917712691772,0.745985401459854,0.7289586305278173,685.0
linux,0.4583850931677019,0.5426470588235294,0.4969696969696969,680.0
node.js,0.6029411764705882,0.6011730205278593,0.6020558002936858,682.0
arrays,0.6604414261460102,0.638752052545156,0.649415692821369,609.0
swift,0.5741056218057922,0.5444264943457189,0.5588723051409618,619.0
sql-server,0.5913818722139673,0.6982456140350877,0.6403861625100562,570.0
json,0.7549407114624506,0.6785079928952042,0.7146866230121609,563.0
string,0.49056603773584906,0.5982300884955752,0.5390749601275917,565.0
windows,0.45956607495069035,0.41831238779174146,0.43796992481203006,557.0
performance,0.34534534534534533,0.4356060606060606,0.38525963149078724,528.0
ruby-on-rails,0.7618110236220472,0.7385496183206107,0.75,524.0
xcode,0.6352657004830918,0.5197628458498024,0.5717391304347826,506.0
spring,0.6916488222698073,0.6701244813278008,0.6807165437302424,482.0
ajax,0.5361050328227571,0.5751173708920188,0.5549263873159682,426.0
database,0.3732394366197183,0.4472573839662447,0.40690978886756235,474.0
asp.net-mvc,0.5828460038986355,0.6443965517241379,0.6120777891504605,464.0
algorithm,0.5327102803738317,0.5533980582524272,0.5428571428571428,412.0
ruby,0.5600739371534196,0.7266187050359713,0.6325678496868475,417.0
macos,0.5558375634517766,0.5732984293193717,0.5644329896907216,382.0
multithreading,0.5962877030162413,0.6408977556109726,0.6177884615384616,401.0
visual-studio,0.4269406392694064,0.5165745856353591,0.46749999999999997,362.0
django,0.9104477611940298,0.8026315789473685,0.8531468531468532,380.0
reactjs,0.7227979274611399,0.7560975609756098,0.7390728476821192,369.0
wpf,0.7755681818181818,0.773371104815864,0.774468085106383,353.0
xml,0.6346153846153846,0.652542372881356,0.6434540389972145,354.0
bash,0.5490716180371353,0.6529968454258676,0.596541786743516,317.0
eclipse,0.7928286852589641,0.5975975975975976,0.6815068493150684,333.0
python-3.x,0.18915510718789408,0.42016806722689076,0.2608695652173913,357.0
image,0.4188911704312115,0.6375,0.5055762081784386,320.0
unit-testing,0.5929203539823009,0.638095238095238,0.6146788990825688,315.0
angular,0.7857142857142857,0.4673202614379085,0.5860655737704917,306.0
c++11,0.43041237113402064,0.5566666666666666,0.48546511627906974,300.0
angularjs,0.6607929515418502,0.539568345323741,0.5940594059405941,278.0
git,0.8699186991869918,0.781021897810219,0.8230769230769232,274.0
micro avg,0.6151809863612822,0.6988907533724148,0.6543696055826481,45887.0
macro avg,0.6078210140199338,0.6463219650369368,0.6200893139807094,45887.0
weighted avg,0.6391077314698596,0.6988907533724148,0.6619981219055014,45887.0
samples avg,0.5737133964051325,0.6384856978825437,0.5742052076606803,45887.0
