,precision,recall,f1-score,support
java,0.7856494096276113,0.7293423271500843,0.7564494971578487,3558.0
c#,0.6259560819146311,0.7304923697091852,0.674196120116928,3473.0
javascript,0.6734961912266877,0.7640047675804529,0.7159011587323747,3356.0
python,0.8342225609756098,0.8380551301684533,0.8361344537815126,2612.0
android,0.8826787512588117,0.8572127139364303,0.8697593649218556,2045.0
c++,0.645218945487042,0.7352342158859471,0.6872917658257972,1964.0
ios,0.7104408352668213,0.8320652173913043,0.7664580725907384,1840.0
html,0.546563643757625,0.7658119658119659,0.637873754152824,1755.0
php,0.7839699436443331,0.7695144437615242,0.7766749379652605,1627.0
.net,0.38749485808309336,0.6003824091778203,0.471,1569.0
jquery,0.730844793713163,0.7256176853055917,0.7282218597063622,1538.0
css,0.76274328081557,0.7276746242263483,0.7447963800904978,1131.0
objective-c,0.48592115848753015,0.6801801801801802,0.5668700140778977,888.0
c,0.5032679738562091,0.6090395480225989,0.551124744376278,885.0
sql,0.5865979381443299,0.6540229885057471,0.6184782608695654,870.0
iphone,0.4564063684609553,0.7459727385377943,0.5663217309501412,807.0
asp.net,0.49490373725934317,0.5428571428571428,0.5177725118483412,805.0
mysql,0.767479674796748,0.689051094890511,0.7261538461538463,685.0
linux,0.5292439372325249,0.5455882352941176,0.5372918175235336,680.0
node.js,0.6934673366834171,0.6070381231671554,0.6473807662236122,682.0
git,0.8283582089552238,0.8102189781021898,0.8191881918819187,274.0
micro avg,0.6586145263499973,0.7359883791308558,0.695155066457053,33044.0
macro avg,0.6530916966498705,0.7123512809363117,0.6769209166165302,33044.0
weighted avg,0.6765803052579494,0.7359883791308558,0.7013231698488752,33044.0
samples avg,0.5478358267760854,0.5992863012619184,0.5529371860414378,33044.0
