,precision,recall,f1-score,support
java,0.7830670926517572,0.6888701517706577,0.7329545454545455,3558.0
c#,0.7075708647290994,0.5678088108263749,0.6300319488817892,3473.0
javascript,0.6954397394136808,0.6361740166865316,0.664488017429194,3356.0
python,0.8429930795847751,0.7461715160796325,0.7916328188464663,2612.0
android,0.8864981172673481,0.8058679706601467,0.8442622950819672,2045.0
c++,0.7917425622343656,0.6639511201629328,0.7222376073109942,1964.0
ios,0.7379587155963303,0.6994565217391304,0.7181919642857143,1840.0
html,0.6883593033913841,0.42792022792022794,0.527758257203092,1755.0
php,0.8334687246141349,0.6306084818684696,0.7179846046186145,1627.0
.net,0.5932642487046632,0.14595283620140218,0.23427109974424554,1569.0
jquery,0.7503961965134707,0.6157347204161249,0.6764285714285715,1538.0
css,0.8139013452914798,0.6419098143236074,0.717745921898171,1131.0
objective-c,0.5541958041958042,0.356981981981982,0.43424657534246575,888.0
c,0.6418685121107266,0.4192090395480226,0.507177033492823,885.0
sql,0.6459143968871596,0.5724137931034483,0.606946983546618,870.0
iphone,0.582089552238806,0.3382899628252788,0.4278996865203762,807.0
asp.net,0.6991869918699187,0.3204968944099379,0.43952299829642244,805.0
mysql,0.762684124386252,0.6802919708029197,0.7191358024691358,685.0
linux,0.5934065934065934,0.3176470588235294,0.41379310344827586,680.0
node.js,0.7079439252336449,0.4442815249266862,0.5459459459459459,682.0
git,0.871900826446281,0.7700729927007299,0.8178294573643411,274.0
micro avg,0.7490993608367228,0.585219707057257,0.6570957712499363,33044.0
macro avg,0.7230405103222702,0.5471481622751321,0.6138326304099889,33044.0
weighted avg,0.7377143562900254,0.585219707057257,0.6447855994885405,33044.0
samples avg,0.5239753244852702,0.49191347809935493,0.4926994633590156,33044.0
