,precision,recall,f1-score,support
java,0.8144329896907216,0.6439010680157392,0.7191963584994506,3558.0
c#,0.7423230974632844,0.48027641808234955,0.5832167832167833,3473.0
javascript,0.7029702970297029,0.613528009535161,0.6552108194112968,3356.0
python,0.8526824978012313,0.7423430321592649,0.7936962750716332,2612.0
android,0.8838219326818675,0.7960880195599022,0.8376640082325699,2045.0
c++,0.7868263473053893,0.6690427698574338,0.7231700605393505,1964.0
ios,0.7464539007092199,0.6864130434782608,0.7151755379388448,1840.0
html,0.7309711286089239,0.3173789173789174,0.44259038537941997,1755.0
php,0.8200612557427259,0.6582667486170867,0.7303102625298329,1627.0
.net,0.5805369127516778,0.11026131293817719,0.18532404927691484,1569.0
jquery,0.7785588752196837,0.576072821846554,0.6621823617339313,1538.0
css,0.8718309859154929,0.5473032714412025,0.6724606192286801,1131.0
objective-c,0.672,0.1891891891891892,0.2952548330404219,888.0
c,0.7117794486215538,0.32090395480225986,0.44236760124610586,885.0
sql,0.6629055007052186,0.5402298850574713,0.5953134895503484,870.0
iphone,0.6232686980609419,0.2788104089219331,0.38527397260273977,807.0
asp.net,0.707774798927614,0.3279503105590062,0.4482173174872665,805.0
mysql,0.8478747203579419,0.5532846715328467,0.6696113074204947,685.0
linux,0.6521739130434783,0.2647058823529412,0.3765690376569038,680.0
node.js,0.7980132450331126,0.3533724340175953,0.4898373983739837,682.0
git,0.8739837398373984,0.7846715328467153,0.826923076923077,274.0
micro avg,0.7765144940114563,0.5415203970463625,0.6380687491085437,33044.0
macro avg,0.7552973469289134,0.4978092239138099,0.5833126454933356,33044.0
weighted avg,0.7621343859390904,0.5415203970463625,0.619148483787992,33044.0
samples avg,0.5087495637882318,0.4621728411738881,0.47073626113847655,33044.0
