,precision,recall,f1-score,support
java,0.7417985333847935,0.5401911186059584,0.6251422995609042,3558.0
c#,0.577639751552795,0.5623380362798733,0.569886197840677,3473.0
javascript,0.6599505125486037,0.5563170441001192,0.6037186742118027,3356.0
python,0.8051601423487544,0.6929555895865237,0.7448559670781894,2612.0
android,0.8508042151968941,0.750122249388753,0.7972972972972974,2045.0
c++,0.6533090467516697,0.5478615071283096,0.5959567986707284,1964.0
ios,0.6997607655502392,0.6358695652173914,0.6662870159453302,1840.0
html,0.5511860174781523,0.5031339031339032,0.5260649389335716,1755.0
php,0.6984656437625083,0.6435156730178242,0.6698656429942418,1627.0
.net,0.35195530726256985,0.28107074569789675,0.3125442948263643,1569.0
jquery,0.6721311475409836,0.6131339401820546,0.6412784767086025,1538.0
css,0.7150480256136607,0.5923961096374889,0.6479690522243713,1131.0
objective-c,0.44144144144144143,0.38626126126126126,0.41201201201201204,888.0
c,0.49782923299565845,0.3887005649717514,0.43654822335025384,885.0
sql,0.5258855585831063,0.4436781609195402,0.4812967581047381,870.0
iphone,0.4646074646074646,0.4473358116480793,0.4558080808080808,807.0
asp.net,0.4521452145214521,0.3403726708074534,0.38837703756201275,805.0
mysql,0.6824561403508772,0.5678832116788322,0.6199203187250997,685.0
linux,0.466786355475763,0.38235294117647056,0.42037186742118027,680.0
node.js,0.653558052434457,0.5117302052785924,0.5740131578947368,682.0
git,0.7859922178988327,0.7372262773722628,0.760828625235405,274.0
micro avg,0.6424139875916526,0.5515070814671347,0.5934996417638246,33044.0
macro avg,0.6165671803476515,0.5297355517662067,0.5690496541621713,33044.0
weighted avg,0.643000171757266,0.5515070814671347,0.5927404244889669,33044.0
samples avg,0.45903267929710795,0.45696531694302794,0.4410165570173676,33044.0
