,precision,recall,f1-score,support
java,0.8316303864948912,0.5261382799325464,0.6445171285935617,3558.0
c#,0.6864224137931034,0.36682983011805353,0.47813848752111093,3473.0
javascript,0.7424749163879598,0.5292014302741359,0.6179540709812108,3356.0
python,0.9023150762281197,0.611791730474732,0.729180926306183,2612.0
android,0.9339752407152683,0.6640586797066015,0.7762217776507573,2045.0
c++,0.7874885004599816,0.43584521384928715,0.5611274991805965,1964.0
ios,0.7845351867940921,0.4907608695652174,0.6038114343029087,1840.0
html,0.6711711711711712,0.42450142450142453,0.5200698080279232,1755.0
php,0.8779527559055118,0.5482483097725875,0.6749905410518351,1627.0
.net,0.5670886075949367,0.14276609305289995,0.22810590631364566,1569.0
jquery,0.8182692307692307,0.5533159947984395,0.6602017067494181,1538.0
css,0.8298153034300791,0.5561450044208665,0.6659608258337745,1131.0
objective-c,0.5454545454545454,0.1891891891891892,0.2809364548494983,888.0
c,0.6636085626911316,0.24519774011299436,0.3580858085808581,885.0
sql,0.6290909090909091,0.39770114942528734,0.48732394366197185,870.0
iphone,0.5888157894736842,0.2218091697645601,0.32223222322232226,807.0
asp.net,0.6615384615384615,0.2670807453416149,0.3805309734513274,805.0
mysql,0.8243559718969555,0.5138686131386861,0.6330935251798562,685.0
linux,0.6638297872340425,0.22941176470588234,0.3409836065573771,680.0
node.js,0.7639751552795031,0.36070381231671556,0.49003984063745026,682.0
git,0.9054726368159204,0.6642335766423357,0.7663157894736843,274.0
micro avg,0.7800311203319502,0.45512044546665054,0.5748413729837168,33044.0
macro avg,0.7466324099628332,0.4256570771954313,0.5342772513393939,33044.0
weighted avg,0.7625179698481676,0.45512044546665054,0.5639915972855317,33044.0
samples avg,0.40690452872243427,0.3793849132642149,0.380651227316318,33044.0
