,precision,recall,f1-score,support
java,0.3518018733132243,0.6228218100056211,0.4496297047783301,3558.0
c#,0.2556053811659193,0.525194356464152,0.34385898765199363,3473.0
javascript,0.4373076923076923,0.33879618593563765,0.3817998656816655,3356.0
python,0.44807411019015114,0.7036753445635529,0.5475126601131963,2612.0
android,0.6948837209302325,0.7305623471882641,0.7122765196662694,2045.0
c++,0.754601226993865,0.2505091649694501,0.37614678899082565,1964.0
ios,0.32251855925213085,0.6375,0.42833668066459735,1840.0
html,0.19479311947931194,0.4774928774928775,0.2767046392603599,1755.0
php,0.3615208128482465,0.6779348494161033,0.4715690466011116,1627.0
.net,0.1279293123319247,0.42447418738049714,0.1966051660516605,1569.0
jquery,0.5147169811320754,0.4434330299089727,0.4764233321690534,1538.0
css,0.45758513931888545,0.6534040671971706,0.5382374362709395,1131.0
objective-c,0.2110862262038074,0.42454954954954954,0.2819745699326851,888.0
c,0.25074096028452875,0.47796610169491527,0.32892690513219286,885.0
sql,0.2857142857142857,0.45517241379310347,0.35106382978723405,870.0
iphone,0.21296296296296297,0.4275092936802974,0.2843016069221261,807.0
asp.net,0.3421383647798742,0.337888198757764,0.34,805.0
mysql,0.7537037037037037,0.5941605839416059,0.6644897959183673,685.0
linux,0.5444444444444444,0.2161764705882353,0.30947368421052635,680.0
node.js,0.586552217453505,0.6011730205278593,0.5937726285300508,682.0
git,0.9035087719298246,0.7518248175182481,0.8207171314741035,274.0
micro avg,0.3363935324746506,0.5200641568817335,0.408534411030548,33044.0
macro avg,0.4291518984162189,0.5129627938368513,0.43684861808606135,33044.0
weighted avg,0.404102267228347,0.5200641568817335,0.4248045560896293,33044.0
samples avg,0.33159838980902095,0.4314629698422884,0.34918075275543786,33044.0
