,precision,recall,f1-score,support
java,0.7660891089108911,0.34794828555368185,0.4785465790490916,3558.0
c#,0.0,0.0,0.0,3473.0
javascript,0.7668122270742358,0.26162097735399287,0.3901355254387914,3356.0
python,0.8782731776362349,0.47511485451761104,0.6166459627329192,2612.0
android,0.8511627906976744,0.4474327628361858,0.5865384615384616,2045.0
c++,0.805702217529039,0.3884928716904277,0.5242184816214359,1964.0
ios,0.7684563758389261,0.24891304347826088,0.37602627257799676,1840.0
html,0.481021897810219,0.3754985754985755,0.42176,1755.0
php,0.8272921108742004,0.47695144437615244,0.6050682261208576,1627.0
.net,0.5366568914956011,0.2332695984703633,0.3251888049755664,1569.0
jquery,0.7968036529680366,0.4538361508452536,0.5782932891466446,1538.0
css,0.7146702557200538,0.46949602122015915,0.5667022411953041,1131.0
objective-c,0.0,0.0,0.0,888.0
c,0.20529470529470528,0.46440677966101696,0.28472462764115,885.0
sql,0.4127659574468085,0.4459770114942529,0.42872928176795577,870.0
iphone,0.5789473684210527,0.29987608426270135,0.39510204081632655,807.0
asp.net,0.5240963855421686,0.3242236024844721,0.4006139677666922,805.0
mysql,0.7239488117001828,0.5781021897810219,0.6428571428571429,685.0
linux,0.4582651391162029,0.4117647058823529,0.4337722695584818,680.0
node.js,0.8727272727272727,0.14076246334310852,0.24242424242424246,682.0
git,0.7168458781362007,0.7299270072992701,0.7233273056057865,274.0
micro avg,0.6424109002201464,0.326746156639632,0.43317084913040865,33044.0
macro avg,0.6040872488066528,0.3606483061928029,0.4295559391826118,33044.0
weighted avg,0.6181222905112621,0.326746156639632,0.41381017476105386,33044.0
samples avg,0.2835124012794473,0.26323776074206656,0.2625895406736986,33044.0
